,Mean Return (Ann.),Std Dev (Ann.),Sharpe Ratio,Information Ratio
GMV,0.22013132817113912,0.20769774129563248,1.0598638521437214,1.3046269458716562
MV,0.6611300974105482,1.9821015936229502,0.3335500559293295,0.25838694975548515
EW,0.2344532748283647,0.22054809772239933,1.0630482749548247,1.9895241979723428
Active,0.21464469643151945,0.20798664823178,1.032011901996323,1.7763978562032052
NIFTY50,0.1351054740920561,0.20147564892550424,0.6705796696156141,0.0
