Window,Holding_End,GMV_VaR,GMV_Return,GMV_Violation,MV_VaR,MV_Return,MV_Violation,EW_VaR,EW_Return,EW_Violation,Active_VaR,Active_Return,Active_Violation
1,2009-10-14,0.04675388671282761,0.15673871078655277,False,0.0,0.7235148338362125,False,0.14960481060494862,0.3456641106534297,False,0.15559633599378067,0.28990627423383764,False
2,2010-01-18,0.023579018128537445,0.10305707284151655,False,0.0,1.4506378303294878,False,0.030475215705940754,0.12490092173703093,False,0.06635577588851481,0.09625279227013794,False
3,2010-04-23,0.013210164646382522,0.026037239448170713,False,0.0,0.5691358777618916,False,0.01756389272549944,0.026037239448170713,False,0.03620984963987215,0.018238235736502073,False
4,2010-07-21,0.10676421090983924,0.06649187243283539,False,0.0,-0.3519382330701395,True,0.10936337140326877,0.06649187243283539,False,0.12123953540351641,0.06077699918252377,False
5,2010-10-19,0.13467832718491218,0.1577573880847709,False,0.0,0.24698121056969158,False,0.13193033570927518,0.1577573880847709,False,0.14574806314611635,0.143309832054759,False
6,2011-01-18,0.058400072800905645,-0.04876031816730486,False,0.0,-0.6611445327127197,True,0.05248314957053672,-0.04876031816730486,False,0.07587599661390819,-0.04305148264337599,False
7,2011-04-21,0.1177951001113191,0.049136435485472196,False,0.0,-0.44333233825271623,True,0.11460536669792204,0.049136435485472196,False,0.12307487965656252,0.04340339559799733,False
8,2011-07-20,0.18894004339282003,-0.001711138556593328,False,0.6321120889647204,-0.4570316473040368,False,0.18703183290262557,-0.001711138556593328,False,0.18607158183436856,-0.004960869676424062,False
9,2011-10-21,0.1583831005471154,-0.06736306250010515,False,0.0,0.09736951867256316,False,0.15998697182054827,-0.06736306250010515,False,0.1534212233159246,-0.07120342235317456,False
10,2012-01-24,0.20934556960110126,0.03522355444791536,False,0.330872030728029,-0.8362188247932423,True,0.21168298755600598,0.03522355444791536,False,0.2106024782450598,0.036288153224657504,False
11,2012-04-27,0.21575430251273903,0.07613754195960998,False,0.21382308764510788,0.07613754195960998,False,0.2156221035793734,0.07613754195960998,False,0.20517425142555934,0.08453781700862084,False
12,2012-07-26,0.14577035509769992,-0.022436898482115275,False,0.0,-0.516010733269672,True,0.14778208170726326,-0.022436898482115275,False,0.13920362042232343,-0.01568626344064361,False
13,2012-10-30,0.14451046440262205,0.12551988074960585,False,0.0,0.4876308787949333,False,0.15189133291503892,0.12551988074960585,False,0.14904257304482016,0.12170914155191692,False
14,2013-01-30,0.09140377359470878,0.0892471741947305,False,0.0,-0.8913412843347729,True,0.09800737763342496,0.0892471741947305,False,0.09647136266670142,0.08817696031642619,False
15,2013-05-06,0.01281160864467485,0.011688624959953708,False,0.4409648363000745,-0.07974274079802313,False,0.015557569908855817,0.011688624959953708,False,0.016829332911685663,0.014938692215997529,False
16,2013-08-01,0.08597947276916557,-0.03863840912009786,False,0.023811201182478037,-0.6427406804730806,True,0.08603424517019088,-0.03863840912009786,False,0.09090784454360332,-0.04840894598268408,False
17,2013-11-06,0.17159780116414727,0.14524916279129085,False,0.0,-0.8088875976919296,True,0.16791210059596387,0.14524916279129085,False,0.18416980846562814,0.1457318809865824,False
18,2014-02-05,0.16810098957268776,-0.00803312599287731,False,0.9052958018544934,1.3011544030867848,False,0.16329489993514013,-0.00803312599287731,False,0.1597880932274764,-0.007726604528826564,False
19,2014-05-14,0.14082447431324324,0.21747837389631042,False,0.3643642463219639,0.7999531037455208,False,0.14414548160279977,0.21747837389631042,False,0.13974097781903927,0.19201515853558293,False
20,2014-08-12,0.04912016632582925,0.13418093497769346,False,0.0,-0.3882276526846452,True,0.05008785718521012,0.13418093497769346,False,0.06247867184609267,0.129164392976012,False
21,2014-11-20,0.0,0.13286952562682353,False,0.5049846461059505,-0.3757005193987125,False,0.0,0.13286952562682353,False,0.0,0.13346632102871614,False
22,2015-02-20,0.03153487863450215,0.07800499836730324,False,0.0,1.1157724602615304,False,0.033978814821517246,0.07800499836730324,False,0.04099779153105441,0.07092059304229936,False
23,2015-05-27,0.056706694968400126,-0.011376483959229633,False,0.0,2.628658605952551,False,0.05714066427235903,-0.011376483959229633,False,0.06037506658358858,-0.017164054777474735,False
24,2015-08-24,0.13530885872442108,-0.06608063427013611,False,0.0,0.044133347705559434,False,0.1346169489042227,-0.06608063427013611,False,0.14130047697914355,-0.06297844795339957,False
25,2015-11-27,0.23555672259800145,0.033873483895565215,False,0.0,-0.8273162932201051,True,0.23489969771774083,0.033873483895565215,False,0.23080260849611686,0.03590227209617369,False
26,2016-02-26,0.20668336145125638,-0.09407088788461604,False,0.0,-0.2593709501240876,True,0.20840352868912845,-0.09407088788461604,False,0.19692453733864868,-0.09795434414921877,False
27,2016-06-02,0.20604938965355005,0.18312823702024916,False,0.0,-0.24843452399514643,True,0.19763952464127246,0.18312823702024916,False,0.2007467535068708,0.17899575734674622,False
28,2016-09-01,0.1479342466587557,0.12010358602147275,False,0.0,0.7636853349715829,False,0.15058806216407164,0.12010358602147275,False,0.14136630097678976,0.11030886042138799,False
29,2016-12-07,0.010254624746732478,-0.05107479339820098,True,0.0,-0.5714330196035728,True,0.0061604100430139655,-0.05107479339820098,True,0.015421227995170976,-0.05669139142556867,True
30,2017-03-08,0.13492783236137013,0.0939618001546314,False,0.0,-0.27337748428642394,True,0.12729988176810164,0.0939618001546314,False,0.131515253079332,0.08898942724400327,False
31,2017-06-09,0.14782504762916315,0.08746416008464108,False,0.3197705059590306,0.5262178538190811,False,0.15035193519119705,0.08746416008464108,False,0.1373041114047554,0.08994449493399848,False
