Window,GMV,MV,EW,Active,NIFTY50
1,0.15673871078655277,0.7235148338362125,0.3456641106534297,0.28990627423383764,0.2879052855399422
2,0.10305707284151655,1.4506378303294878,0.12490092173703093,0.09625279227013794,0.030606463209721824
3,0.026037239448170713,0.5691358777618916,0.026037239448170713,0.018238235736502073,0.005545181379565056
4,0.06649187243283539,-0.3519382330701395,0.06649187243283539,0.06077699918252377,0.01795780622537224
5,0.1577573880847709,0.24698121056969158,0.1577573880847709,0.143309832054759,0.11630103623584231
6,-0.04876031816730486,-0.6611445327127197,-0.04876031816730486,-0.04305148264337599,-0.050312743682909944
7,0.049136435485472196,-0.44333233825271623,0.049136435485472196,0.04340339559799733,0.028065792576934534
8,-0.001711138556593328,-0.4570316473040368,-0.001711138556593328,-0.004960869676424062,-0.053978962394004903
9,-0.06736306250010515,0.09736951867256316,-0.06736306250010515,-0.07120342235317456,-0.09288581923999295
10,0.03522355444791536,-0.8362188247932423,0.03522355444791536,0.036288153224657504,0.015326884424598175
11,0.07613754195960998,0.07613754195960998,0.07613754195960998,0.08453781700862084,0.012335806995815934
12,-0.022436898482115275,-0.516010733269672,-0.022436898482115275,-0.01568626344064361,-0.028436018957345488
13,0.12551988074960585,0.4876308787949333,0.12551988074960585,0.12170914155191692,0.11003371009319873
14,0.0892471741947305,-0.8913412843347729,0.0892471741947305,0.08817696031642619,0.08178959967130495
15,0.011688624959953708,-0.07974274079802313,0.011688624959953708,0.014938692215997529,-0.013986706848862163
16,-0.03863840912009786,-0.6427406804730806,-0.03863840912009786,-0.04840894598268408,-0.04072985488314462
17,0.14524916279129085,-0.8088875976919296,0.14524916279129085,0.1457318809865824,0.08507555190865679
18,-0.00803312599287731,1.3011544030867848,-0.00803312599287731,-0.007726604528826564,-0.031012928087011726
19,0.21747837389631042,0.7999531037455208,0.21747837389631042,0.19201515853558293,0.1803848963868233
20,0.13418093497769346,-0.3882276526846452,0.13418093497769346,0.129164392976012,0.086977316687181
21,0.13286952562682353,-0.3757005193987125,0.13286952562682353,0.13346632102871614,0.08733604674487716
22,0.07800499836730324,1.1157724602615304,0.07800499836730324,0.07092059304229936,0.05138123519680038
23,-0.011376483959229633,2.628658605952551,-0.011376483959229633,-0.017164054777474735,-0.05648886071363879
24,-0.06608063427013611,0.044133347705559434,-0.06608063427013611,-0.06297844795339957,-0.06306241451299388
25,0.033873483895565215,-0.8273162932201051,0.033873483895565215,0.03590227209617369,0.017121270329107707
26,-0.09407088788461604,-0.2593709501240876,-0.09407088788461604,-0.09795434414921877,-0.11494202223425243
27,0.18312823702024916,-0.24843452399514643,0.18312823702024916,0.17899575734674622,0.1691667555745231
28,0.12010358602147275,0.7636853349715829,0.12010358602147275,0.11030886042138799,0.0676120429008582
29,-0.05107479339820098,-0.5714330196035728,-0.05107479339820098,-0.05669139142556867,-0.07665263001943046
30,0.0939618001546314,-0.27337748428642394,0.0939618001546314,0.08898942724400327,0.10148666078338153
31,0.08746416008464108,0.5262178538190811,0.08746416008464108,0.08994449493399848,0.08336228051499828
32,0.06844735240748046,2.9440038133897755,0.06844735240748046,0.06361965710509598,0.03493910480179818
33,0.06294499481126103,-0.5638020085980384,0.06294499481126103,0.054682721401919654,0.03160088146671347
34,0.0019689728686285157,-0.3128075677647675,0.0019689728686285157,0.00615957318611815,0.008588243842185816
35,0.03943030596763997,1.0355454729837006,0.03943030596763997,0.043349937930654336,0.03814751846622255
36,0.07459409764019709,0.6067582588471112,0.07459409764019709,0.06179535264492508,0.06542808369687458
37,-0.04684281797048884,-0.596458976913522,-0.04684281797048884,-0.04769047452288977,-0.04758058913436203
38,0.023835369764717784,0.736306716427463,0.023835369764717784,0.021429789069614458,0.0504910050787335
39,0.03705404370572252,-0.055280435207669454,0.03705404370572252,0.0347436042349345,0.02390407124350702
40,-0.011059669134061756,-0.3935473816543228,-0.011059669134061756,-0.009694370519319429,-0.019094727651115084
41,0.06233754207335385,-0.5041959252463626,0.06233754207335385,0.050893075449144565,0.05282943860619471
42,-0.3293373130684939,3.2657866959287105,-0.3293373130684939,-0.31343887502195944,-0.322487174225323
43,0.35497142350004096,-0.8558982663364586,0.35497142350004096,0.3368784474915525,0.3084458067799076
44,0.15865659274804855,-0.1498422549453402,0.13407265052958928,0.1545452623262824,0.06515951905848838
45,0.2681590269796921,-0.5551736248542447,0.2681590269796921,0.2586552347322759,0.23437955030491087
46,0.13600236813582534,2.822351812328648,0.13600236813582534,0.10397704610044634,0.04748758759111227
47,0.0913334104343475,0.23293283697369183,0.0913334104343475,0.07273706146850856,0.05486156866436254
48,0.1396276364071649,-0.4691276383799359,0.1396276364071649,0.14085401837811906,0.14379724406939576
49,0.01257631650104929,0.38163079785789966,0.01257631650104929,0.0044213062539577574,0.006118372111814319
50,-0.003703493048153539,-0.7136362302647746,-0.003703493048153539,-0.008687321500505218,-0.03212826938786839
51,-0.08915455775020464,-0.2970712901668193,-0.08915455775020464,-0.08574827793553752,-0.0879509488917436
52,0.09606165735520267,-0.16251728352159223,0.09606165735520267,0.09974666026232692,0.08615221489900371
